timestamp,event_type,content
1733330497.575118,feedback_received,"Nano_Current: 529,532,531,529,533"
1733330497.588764,command_sent,"<020,035,160,090,120>"
1733330497.609667,command_sent,"<022,035,160,090,120>"
1733330497.629521,feedback_received,"Uno_FB: 169,219,215,336"
1733330497.63028,feedback_received,"Uno_FB: 172,218,215,336"
1733330497.6305642,feedback_received,Nano_Servo5_FB: 402
1733330497.6310122,feedback_received,"Nano_Current: 529,533,531,529,533"
1733330497.645566,command_sent,"<023,035,160,090,120>"
1733330497.665584,command_sent,"<025,035,160,090,120>"
1733330497.666731,feedback_received,"Uno_FB: 178,219,215,337"
1733330497.667016,feedback_received,Nano_Servo5_FB: 402
1733330497.672384,feedback_received,"Nano_Current: 529,533,532,530,532"
1733330497.7031538,command_sent,"<026,035,160,090,120>"
1733330497.7227032,feedback_received,"Uno_FB: 182,218,215,336"
1733330497.723218,feedback_received,Nano_Servo5_FB: 402
1733330497.723712,feedback_received,"Nano_Current: 528,532,531,530,533"
1733330497.74577,command_sent,"<028,035,160,090,120>"
1733330497.7662652,feedback_received,"Uno_FB: 186,218,215,336"
1733330497.7669492,feedback_received,"Uno_FB: 192,218,214,337"
1733330497.7744288,command_sent,"<029,035,160,090,120>"
1733330497.800291,command_sent,"<031,035,160,090,120>"
1733330497.8193111,feedback_received,"Uno_FB: 195,219,215,337"
1733330497.819752,feedback_received,Nano_Servo5_FB: 402
1733330497.8202271,feedback_received,"Nano_Current: 534,532,531,530,533"
1733330497.820383,feedback_received,Nano_Servo5_FB: 401
1733330497.820798,feedback_received,"Nano_Current: 532,533,533,530,534"
1733330497.8359182,command_sent,"<033,035,160,090,120>"
1733330497.856134,command_sent,"<034,035,160,090,120>"
1733330497.8758552,feedback_received,"Uno_FB: 195,218,215,337"
1733330497.876585,feedback_received,"Uno_FB: 198,218,215,337"
1733330497.8768342,feedback_received,Nano_Servo5_FB: 402
1733330497.87993,feedback_received,"Nano_Current: 530,532,532,529,533"
1733330497.894125,command_sent,"<036,035,160,090,120>"
1733330497.912857,command_sent,"<037,035,160,090,120>"
1733330497.9338791,command_sent,"<039,035,160,090,120>"
1733330497.9518552,command_sent,"<040,035,160,090,120>"
1733330497.953996,feedback_received,"Uno_FB: 197,218,215,337"
1733330497.954575,feedback_received,"Uno_FB: 201,219,215,336"
1733330497.954828,feedback_received,Nano_Servo5_FB: 401
1733330497.9552991,feedback_received,"Nano_Current: 528,532,532,530,532"
1733330497.9845362,command_sent,"<043,035,160,090,120>"
1733330498.004998,command_sent,"<045,035,160,090,120>"
1733330498.0235279,command_sent,"<047,035,160,090,120>"
1733330498.043838,feedback_received,"Uno_FB: 210,218,215,337"
1733330498.044565,feedback_received,"Uno_FB: 216,219,215,337"
1733330498.045038,feedback_received,"Uno_FB: 218,219,215,337"
1733330498.045269,feedback_received,Nano_Servo5_FB: 401
1733330498.045687,feedback_received,"Nano_Current: 528,533,532,529,532"
1733330498.045825,feedback_received,Nano_Servo5_FB: 401
1733330498.0461981,feedback_received,"Nano_Current: 530,533,532,530,532"
1733330498.059935,command_sent,"<048,035,160,090,120>"
1733330498.080477,command_sent,"<050,035,160,090,120>"
1733330498.1007302,feedback_received,"Uno_FB: 222,219,215,337"
1733330498.101197,feedback_received,Nano_Servo5_FB: 402
